名称,状态,最优步数,类型
new3089,18015586441073564L,21,28
new4944,20847849741112216L,6,24
new946,18015586441073567L,23,31
new167,18015586457850526L,-1,30
new3588,18015586441073566L,24,30
new437,18297595074827136L,-1,0
new5697,21410285363761566L,7,30
new10461,11840916772705176L,3,24
new2684,18034852289205148L,37,28
new542,21401454942915136L,9,0
new497,3468512795051676L,-1,28
new2535,1145222009312158L,-1,30
new564,2269996082115486L,-1,30
new739,1145230598722462L,-1,30
new6642,21692608594907548L,5,28
new395,20830560642192256L,14,0
new2850,2269996081525662L,-1,30
new31,2269996081525663L,6,31
new1658,19422085173318288L,-1,16
new4673,19423185758704528L,-1,16
new4566,19141710781993872L,-1,16
new3284,4020365979036560L,-1,16
new6002,3380538158409630L,-1,30
new1279,19703561207010192L,-1,16
new4567,19703560133251984L,34,16
new5408,18648028970341264L,-1,16
new1381,19423185758442384L,-1,16
new5296,19422085173056144L,-1,16
new1093,19141710781731728L,-1,16
new3168,19158269743682460L,21,28
new582,19158269743747996L,20,28
new1214,18648028970603408L,-1,16
new4881,19703560132989840L,35,16
new5374,19703561206748048L,-1,16
new1087,20267610688508816L,34,16
new1380,20549085665219472L,35,16
new3696,20547985079833232L,46,16
new3978,20829461113525136L,37,16
new4783,20829460039766928L,-1,16
new4448,20267610688770960L,34,16
new690,581721772635024L,-1,16
new1663,20547985080095376L,47,16
new4631,20549085665481616L,35,16
new1132,20829461113787280L,37,16
new4449,20829460040029072L,-1,16
new122,18656594468318064L,-1,16
new4182,3943487582291774L,46,30
new10907,18015845236986780L,24,28
new11011,18015844163228572L,27,28
new4344,2833450720703384L,9,24
new1528,1144096176845727L,15,31
new1532,581722310562718L,32,30
new6907,1144096176845726L,-1,30
new2404,581721773683608L,25,24
new7714,18015844162966428L,26,28
new8408,18015845236724636L,24,28
new583,19158269744796572L,20,28
new376,18656628828056432L,-1,16
new2011,12957832589380766L,0,30
new3758,19158202637464472L,14,24
new9419,20284100933211036L,7,28
new1858,1144095657267871L,16,31
new1796,18015862416069534L,31,30
new4262,1144096177370014L,13,30
new1700,3387940651428732L,4,28
new3426,581721773683600L,-1,16
new6183,581730899973022L,33,30
new1235,18015810876986256L,30,16
new3434,18015826983359376L,-1,16
new4237,2833450719654808L,9,24
new5537,18015810877248400L,29,16
new9418,20284100932162460L,7,28
new1285,19703526849368976L,-1,16
new5409,18647994612700048L,-1,16
new5538,19703525775610768L,37,16
new5389,21410019059011998L,5,30
new5046,18015826982572944L,28,16
new1218,18647994612962192L,-1,16
new5669,19703525775348624L,38,16
new5375,19703526849106832L,-1,16
new5322,19422945240273820L,-1,28
new11607,19141470263563164L,-1,28
new10514,11840916800557976L,7,24
new591,19422945240535964L,-1,28
new6057,19141470263825308L,-1,28
new1593,19157936346608536L,-1,24
new6394,18069454194577816L,-1,24
new3644,20267370170602396L,14,28
new7957,20284384390566812L,13,28
